bin_id,latitude,longitude,fill_level,expected_full,timestamp,cardboard,glass,metal,paper,plastic,trash
bin_1,39.767087738388014,30.529865674357517,67,165,2024-01-03 22:23:16.676958,99,59,90,52,71,75
bin_10,39.775490904829766,30.52636631630468,99,5,2024-01-28 18:34:06.612785,61,51,63,63,50,63
bin_11,39.76810443258174,30.52878409365089,74,130,2024-01-01 03:15:04.211841,51,97,73,86,62,78
bin_12,39.76869695865207,30.519768118788832,67,165,2024-01-13 18:50:00.626322,94,67,53,82,59,92
bin_13,39.76340008919852,30.534321218494945,94,30,2024-01-12 09:40:33.797584,94,100,74,73,80,87
bin_14,39.77056304664817,30.527270560083647,62,190,2024-01-04 16:53:13.653822,60,78,82,74,53,77
bin_15,39.7614778944995,30.527335042663438,19,405,2024-01-01 10:34:23.100635,18,22,19,46,45,20
bin_16,39.784950330405984,30.52043538982748,42,290,2024-01-21 02:45:56.380421,28,43,45,40,45,38
bin_17,39.75948281776321,30.535256375031295,65,175,2024-01-01 14:40:27.812115,72,87,53,64,61,61
bin_18,39.76734919250964,30.528306507643414,49,255,2024-01-11 04:11:08.479228,45,42,41,41,24,29
bin_19,39.77151750358375,30.531439887328524,87,65,2024-01-24 22:41:31.918631,56,83,84,67,98,98
bin_2,39.785057726824476,30.518117962427045,0,500,2024-01-15 11:08:46.508141,15,15,12,11,5,13
bin_20,39.781918676732815,30.523410532881197,33,335,2024-01-29 06:22:53.865521,34,48,37,36,28,22
bin_21,39.771934713221036,30.524013458577578,26,370,2024-01-04 10:18:13.243303,27,15,42,28,41,42
bin_22,39.78054197841203,30.522028775825085,99,5,2024-01-13 21:01:10.404921,93,80,68,99,91,78
bin_23,39.76017073676581,30.517969444169132,59,205,2024-01-27 21:47:13.597653,85,61,76,93,75,79
bin_24,39.77594982285589,30.511385478990206,90,50,2024-01-28 23:32:55.202923,74,63,65,68,83,82
bin_25,39.76929309161634,30.51734820469039,75,125,2024-01-07 03:27:12.028320,80,54,74,93,50,80
bin_26,39.776628036997074,30.52423241164365,2,490,2024-01-07 21:46:16.763815,5,8,7,9,10,12
bin_27,39.77177221525875,30.530052486875324,50,250,2024-01-05 20:35:02.968619,43,20,41,33,36,16
bin_28,39.774376896851855,30.52280554241828,0,500,2024-01-28 13:52:17.674870,14,9,8,7,11,15
bin_29,39.77122757289529,30.52903417952675,20,400,2024-01-21 15:14:23.556888,42,20,49,27,40,36
bin_3,39.77261233904031,30.520860332457595,39,305,2024-01-21 16:02:29.304294,25,34,47,27,35,20
bin_30,39.779684438633666,30.519459330105054,12,440,2024-01-23 15:35:58.952752,16,18,49,36,37,50
bin_31,39.75459976897051,30.526718740683712,24,380,2024-01-04 01:50:03.039143,43,45,50,28,49,32
bin_32,39.78415159556774,30.516051938987374,56,220,2024-01-18 00:33:58.868958,93,60,89,77,59,96
bin_33,39.76041054404388,30.53055424360649,5,475,2024-01-21 01:27:48.380841,6,9,15,5,8,10
bin_34,39.76739184256594,30.529016431330113,80,100,2024-01-10 05:01:19.136640,100,57,99,87,59,92
bin_35,39.77141776593743,30.528731903115062,68,160,2024-01-16 10:18:17.935669,99,68,83,97,92,86
bin_36,39.78491410237719,30.519352603039422,3,485,2024-01-05 09:53:32.604761,7,5,13,14,13,11
bin_37,39.77255656813699,30.5306783496736,98,10,2024-01-18 16:36:23.069949,67,95,89,75,66,70
bin_38,39.77065740787588,30.511584969219665,97,15,2024-01-22 07:36:03.472322,99,80,72,80,65,97
bin_39,39.76356931838544,30.529294445757387,74,130,2024-01-04 02:47:38.409164,71,97,54,98,91,99
bin_4,39.781696714062235,30.514462643004073,71,145,2024-01-07 23:52:29.513110,54,53,73,56,55,81
bin_40,39.77945963953546,30.524013446392072,61,195,2024-01-09 02:37:31.105618,98,56,100,56,90,86
bin_41,39.765423539077254,30.52578280372845,59,205,2024-01-04 03:11:11.110748,58,69,52,75,70,52
bin_42,39.786536758346706,30.519890074416463,76,120,2024-01-26 17:32:14.072238,65,76,93,50,79,97
bin_43,39.77097584341822,30.51717331795377,12,440,2024-01-03 13:28:52.530423,34,49,24,42,24,41
bin_44,39.77840553260866,30.514953743658452,92,40,2024-01-07 10:32:30.121727,52,97,72,100,76,78
bin_45,39.756606447221515,30.53455146049738,26,370,2024-01-23 01:56:48.279762,18,41,30,43,42,45
bin_46,39.769489635049716,30.51922268505816,15,425,2024-01-30 13:37:06.811062,42,35,21,46,35,28
bin_47,39.75485990952822,30.51740687006964,6,470,2024-01-21 18:32:55.218566,8,14,6,12,5,13
bin_48,39.77953864221755,30.510924241748885,97,15,2024-01-16 02:43:16.066158,61,64,81,87,69,91
bin_49,39.765313897199896,30.526174778240684,43,285,2024-01-11 15:57:34.383354,35,44,27,50,15,16
bin_5,39.76095218429173,30.51576475248215,23,385,2024-01-08 12:54:40.130717,41,23,49,19,46,19
bin_50,39.76742922310302,30.513627592949945,80,100,2024-01-09 23:07:12.001660,98,60,77,77,71,73
bin_6,39.77093772976918,30.52272418357,24,380,2024-01-05 16:10:24.436120,23,15,41,20,24,50
bin_7,39.766015935790385,30.524828165591266,22,390,2024-01-11 14:24:02.254190,34,36,45,25,25,44
bin_8,39.77144908912663,30.518644405058296,85,75,2024-01-10 10:47:41.342341,59,53,62,93,62,81
bin_9,39.759649079713114,30.524777945145647,41,295,2024-01-24 17:27:06.503966,30,39,18,23,18,19
